epoch,lr,loss,iou,val_loss,val_iou,val_dice,SE,PC,F1,AAC,best
0,0.001,0.22261714992069062,0.7347933091408193,0.19470036526521048,0.7619398594293126,0.8647761250153296,0.8617240434680252,0.8681313345180522,0.8647756250459266,0.9796680874294705,True
1,0.001,0.1963126267705645,0.760120785235616,0.1953200962808397,0.762489850518741,0.8651321036743904,0.8587033127101515,0.8719504434628602,0.8651316037302356,0.9797950744628906,True
2,0.001,0.19286772594565438,0.7642026380442327,0.19413245916366578,0.761721002931758,0.8646292380793114,0.8217886985935418,0.9125192706244392,0.8646287394804588,0.9805865817599826,False
3,0.001,0.19141360833531335,0.7650405162797744,0.1888047261370553,0.7709931053782761,0.8705855113386592,0.8674575536775093,0.8739502500139132,0.870585011350977,0.9805460611979167,True
4,0.001,0.19054695580686842,0.7673391916771998,0.18760806851916842,0.7694946035428845,0.8696175933969875,0.8444201314341753,0.8966386807247005,0.8696170938655607,0.9808995564778645,False
5,0.001,0.18839589995997294,0.7697710296048407,0.18666379087501103,0.772053289915042,0.871259462239912,0.8593433616230355,0.883740658732419,0.8712589623466584,0.9808389451768663,True
6,0.001,0.18803577792076837,0.7698998362253489,0.18755750424332088,0.7680166770406779,0.8686643509699594,0.8239846339716566,0.9188147973209717,0.8686638524874941,0.9812084621853299,False
7,0.001,0.18831025532313755,0.7692585767945298,0.18512399991353354,0.7722832949059231,0.871409441422111,0.8503329377507595,0.893803242647147,0.8714089417448426,0.9810635884602864,True
8,0.001,0.18670611622787658,0.7713486088284047,0.1878326157728831,0.7702391056347404,0.8701089706908373,0.868801459768861,0.8717163748077691,0.8701084707211939,0.9804291619194878,False
9,0.001,0.1877112506400971,0.7693659044470529,0.18974418176545038,0.768288358379758,0.8688421681163705,0.8312721182534537,0.9102216173730002,0.8688416691554905,0.9810733371310764,False
10,0.001,0.18767322912102655,0.7695444947085961,0.1861295998096466,0.7719944398876695,0.871213832876448,0.8341366032933181,0.9119991842064252,0.8712133338838246,0.9813926696777344,False
11,0.001,0.1856709375267937,0.771823508005168,0.1832693119843801,0.7751794315696378,0.8732530989230511,0.8713213886273571,0.8753778916094215,0.8732525989231468,0.9809187147352431,True
12,0.001,0.18672920380319868,0.771123749777761,0.18251996437708537,0.7760638270436738,0.8738192884170802,0.8719339817027382,0.875919641533786,0.8738187884235591,0.9810012817382813,True
13,0.001,0.18529214135238103,0.7729220318214928,0.18352441390355428,0.7747805149031897,0.8730017409369769,0.8744696579979215,0.8717193314105356,0.8730012409347955,0.9808023240831163,False
14,0.001,0.18536864462352934,0.7725758891659704,0.18383687800831264,0.7756430964669846,0.873533281529496,0.8520783394662176,0.8963956158848387,0.8735327818783538,0.9813933478461372,False
15,0.001,0.1852414927312306,0.7725723988889963,0.1882198492685954,0.7707829288364704,0.8704384802405277,0.8394394226918445,0.9041452557326152,0.8704379809622517,0.9811477661132812,False
16,0.001,0.1869751527195885,0.771100724908066,0.1874659929010603,0.7713223848130237,0.8707929913075928,0.8597619092965407,0.8823588633700981,0.8707924914048237,0.9807547675238715,False
17,0.001,0.1841602555343083,0.7734298765183755,0.18103374441464742,0.7766054755728254,0.8741583279053491,0.8521971027621643,0.8975112917306077,0.8741578282488898,0.9814827813042535,True
18,0.001,0.18314406062875474,0.7740749167886447,0.18051154282357956,0.7773728036985784,0.874646674090166,0.8590721573526517,0.89107733225032,0.8746461742805816,0.9814175075954861,True
19,0.001,0.1837372491757075,0.7745834756383744,0.18564307623439366,0.7709054250143257,0.8705062584313119,0.834828144967222,0.909852082064738,0.8705057594293341,0.9812650892469618,False
20,0.001,0.1842987440881275,0.7726621687094074,0.18024686773618062,0.7776313254610424,0.8747984422246401,0.8551643040869341,0.8956200227381441,0.8747979425096619,0.9815371195475261,True
21,0.001,0.18355661829312642,0.7741424366933441,0.18250139753023784,0.7775318943966444,0.874737274477861,0.8590067494759358,0.8913394361169169,0.8747367746725442,0.9814498901367188,False
22,0.001,0.18234777720201584,0.7750929360560571,0.18342204259501563,0.7741877816599307,0.87261358071861,0.8741104134142115,0.8713187927779646,0.872613080721022,0.9807516309950087,False
23,0.001,0.1869336893161138,0.7700962504084573,0.1824963907400767,0.774661713927022,0.87290380260204,0.8411551578315926,0.9074546075522127,0.8729033033502384,0.9815249972873263,False
24,0.001,0.18405566414197286,0.7729365027679972,0.1821885065899955,0.7766950345396245,0.8742144169110012,0.8632557591264496,0.8857055799239393,0.8742139170083565,0.9812590705023871,False
25,0.001,0.18278480399222602,0.7749785891952568,0.1838002820809682,0.7721989707200613,0.8713421556202117,0.82994676875943,0.9173685040600099,0.8713416568924791,0.9815116882324219,False
26,0.001,0.1865746640023731,0.7703061176116522,0.17994166248374516,0.7784775569683138,0.8753493455744206,0.8712485489188877,0.879701137669728,0.8753488455913694,0.9812743292914496,True
27,0.001,0.18221576667967296,0.7755097757596752,0.1829421000348197,0.7740498028899084,0.8725243079901838,0.8467049992295425,0.9001944856523882,0.8725238084656892,0.9813387552897136,False
28,0.001,0.1843789035365695,0.7735130497742869,0.18536442385779486,0.7701083835407614,0.8700048377238739,0.8326987170235813,0.9110992476825194,0.8700043387557405,0.9812327067057292,False
29,0.001,0.18435025158382598,0.7722544388007112,0.18171030282974243,0.7762695184891645,0.8739401372078283,0.8572471528456727,0.8915205524950919,0.8739396374070029,0.9813411288791233,False
30,0.001,0.18387763046082997,0.7731627235864207,0.18212033775117661,0.7750455598679115,0.8731507484781494,0.8434838629157932,0.905336560156648,0.8731502491453925,0.981516604953342,False
31,0.001,0.18849103025027683,0.7683973995082167,0.1815942128499349,0.7762540699366044,0.8739363604571688,0.8665398396658123,0.8816882509023982,0.8739358605040318,0.9811330159505208,False
32,0.001,0.18358158880756015,0.774128514282947,0.1807102468278673,0.7770743351196769,0.874453908819013,0.8717235106431354,0.8774180741925126,0.8744534088309955,0.9811119927300347,False
33,0.001,0.18299518355301447,0.7748571088447556,0.18151294920179578,0.7754430108425155,0.8734137717246242,0.8422246599392009,0.9072536365171563,0.8734132724281565,0.9815818786621093,False
