epoch,lr,loss,iou,val_loss,val_iou,val_dice,SE,PC,F1,AAC,best
0,0.001,0.17661107456873334,0.8492829529613425,0.18988178405496808,0.8317298018135435,0.9070955543163014,0.8777098874687413,0.9433056263204739,0.9070950562929442,0.9547611377857349,True
1,0.001,0.1581865904823182,0.8604244647570612,0.19978462711528497,0.8263898164344441,0.9037709640751433,0.866517385349238,0.950068378452527,0.9037704667083055,0.9541098135489005,False
2,0.001,0.15803778710819427,0.8565748222423514,0.18736770164083552,0.8291219657005754,0.9053563868047222,0.8733178229107178,0.9452444291433639,0.9053558890845969,0.9543617531105324,False
3,0.001,0.14669513666913622,0.867345817198712,0.1711688201736521,0.8435649039583236,0.9141882111206259,0.9091587730225927,0.9236806759693451,0.9141877124073641,0.9573788678204572,True
4,0.001,0.14790611347508809,0.864217601233308,0.19373950671266627,0.8253056409099927,0.9029317099459645,0.8542093941164117,0.9626967174443236,0.9029312131522262,0.9542096738462095,False
5,0.001,0.1466708280737438,0.8643580380330931,0.17078166780648407,0.8442006493619844,0.9142097925603875,0.8963785213464764,0.9383861669607226,0.914209294437436,0.9583261560510706,True
6,0.001,0.15432032923849803,0.8557658184826125,0.17847243150075276,0.841851363469802,0.9129941223050199,0.9222859545038388,0.9082043037052654,0.9129936236090163,0.9560328165690104,False
7,0.001,0.15700727237595452,0.8545696482639302,0.18268949466722983,0.829223146734839,0.9053902145570335,0.8716519928258982,0.9472564079117173,0.9053897169242701,0.954092350712529,False
8,0.001,0.14205193003964803,0.8707868827834033,0.17325646733796154,0.8402814054972567,0.9120207839793149,0.888348671935789,0.9415963144504861,0.91202028570743,0.957206952130353,False
9,0.001,0.13870100298571209,0.8720266618325669,0.17336591272442428,0.8411388049224349,0.912668915957257,0.8936403157294274,0.9374129277155078,0.9126684176028348,0.9576259471752026,False
10,0.001,0.14678611481000506,0.8638849577553336,0.17866783340771994,0.834900174187923,0.9087458728524134,0.8712019392966979,0.9546260762851941,0.9087453752858184,0.9562587596752026,False
11,0.001,0.13536956310272216,0.8724072556764902,0.1666315582063463,0.8441403600484558,0.9144647403846847,0.9042688214561387,0.9295530161253126,0.9144642417976347,0.957908856427228,False
12,0.001,0.14007884545458688,0.872513657606162,0.1896958068565086,0.829254527327849,0.9052682440436762,0.9425584204688308,0.8753541266142445,0.9052677461569887,0.9508629692925348,False
13,0.001,0.1452118259100687,0.8670744001160197,0.16516977692091905,0.843460310745175,0.9138722599665707,0.8796310590660332,0.9554074359730683,0.9138717620748965,0.9584882948133681,False
14,0.001,0.13081889672884867,0.8782723558932057,0.1642845071024365,0.8474783818881152,0.9163142256377506,0.9075186848282121,0.9298463005903883,0.9163137270200354,0.9586428041811342,True
15,0.001,0.13407721074800644,0.8770046474420286,0.1903636277825744,0.8254983486977723,0.9029755482248758,0.9381839165462016,0.8761349759804116,0.9029750506356758,0.9494010642722801,False
16,0.001,0.13454152695716373,0.8755857332713294,0.16353757558045565,0.8485461978153163,0.9170488781832432,0.9088801254718826,0.9291905801584,0.9170483793267711,0.9589012993706597,True
17,0.001,0.12859872688376714,0.8795185155138401,0.17755881327169912,0.8436343808163022,0.9139226218073985,0.8806987362410021,0.9543162959790548,0.9139221238942016,0.9586285626446759,False
18,0.001,0.1335957522430117,0.8773411849906463,0.1661335833646633,0.8498536656725836,0.917503312186321,0.8998407044780972,0.9405979090430441,0.9175028137851052,0.9597113150137442,True
19,0.001,0.13352876773902347,0.8779806161711358,0.19026251247635595,0.8249611941699784,0.90283087405353,0.9021504692013884,0.9101879819425652,0.9028303759864478,0.9514690823025174,False
20,0.001,0.13487518557480405,0.87674626359411,0.16337037450737424,0.848196494589604,0.9165456403149249,0.9139177505958546,0.9237442245503704,0.9165451416473395,0.9586890891746238,False
21,0.001,0.12999368678955806,0.8806301420462127,0.18256588445769417,0.8348940804623725,0.9090973693524813,0.9446537749830722,0.879727825416887,0.9090968710841811,0.9526041666666667,False
22,0.001,0.14059626322890084,0.8704213072576367,0.19694615845327024,0.8226858795271297,0.9013000299381915,0.9363915265874647,0.8740524823637267,0.9012995321987408,0.9488896122685185,False
